language,language_name,metric,target,baseline,target_mean,baseline_mean,mean_diff,std_diff,ci_lower,ci_upper,p_value,significance,n,n_bootstrap
kor,Korean,BLEU,EchoRefine_Hybrid,EchoRefine_Raw,11.0449,9.9454,1.0995,7.4258,0.6373,1.565,0.0,***,1012,1000
kor,Korean,CHRF,EchoRefine_Hybrid,mBART,31.6203,30.3397,1.2805,8.6842,0.7921,1.7953,0.0,***,1012,1000
kor,Korean,CHRF,EchoRefine_Hybrid,Llama_ZS,31.6203,34.8884,-3.2681,12.4649,-4.0638,-2.5513,0.0,***,1012,1000
kor,Korean,CHRF,EchoRefine_Hybrid,Llama_Direct,31.6203,30.416,1.2043,12.8983,0.4166,2.0306,0.0,***,1012,1000
kor,Korean,CHRF,EchoRefine_Hybrid,EchoRefine_Raw,31.6203,29.6269,1.9934,8.8565,1.4223,2.5521,0.0,***,1012,1000
tam,Tamil,BLEU,EchoRefine_Hybrid,mBART,10.0356,9.7393,0.2964,4.149,0.0386,0.5529,0.018,*,1012,1000
tam,Tamil,BLEU,EchoRefine_Hybrid,Llama_ZS,10.0356,11.8742,-1.8386,10.2755,-2.4153,-1.2223,0.0,***,1012,1000
tam,Tamil,BLEU,EchoRefine_Hybrid,Llama_Direct,10.0356,11.3265,-1.2909,9.8119,-1.8962,-0.6723,0.0,***,1012,1000
tam,Tamil,BLEU,EchoRefine_Hybrid,EchoRefine_Raw,10.0356,8.1822,1.8534,7.5003,1.4292,2.3263,0.0,***,1012,1000
tam,Tamil,CHRF,EchoRefine_Hybrid,mBART,49.1319,47.7552,1.3766,6.505,0.9574,1.7906,0.0,***,1012,1000
tam,Tamil,CHRF,EchoRefine_Hybrid,Llama_ZS,49.1319,52.2937,-3.1618,11.4104,-3.874,-2.4783,0.0,***,1012,1000
tam,Tamil,CHRF,EchoRefine_Hybrid,Llama_Direct,49.1319,50.7088,-1.5769,11.7277,-2.2786,-0.8545,0.0,***,1012,1000
tam,Tamil,CHRF,EchoRefine_Hybrid,EchoRefine_Raw,49.1319,41.943,7.1889,11.3232,6.4962,7.9145,0.0,***,1012,1000
hin,Hindi,BLEU,EchoRefine_Hybrid,mBART,22.8915,19.6051,3.2865,9.8163,2.6729,3.9312,0.0,***,1012,1000
hin,Hindi,BLEU,EchoRefine_Hybrid,Llama_ZS,22.8915,27.8826,-4.9911,13.7888,-5.8096,-4.1084,0.0,***,1012,1000
hin,Hindi,BLEU,EchoRefine_Hybrid,Llama_Direct,22.8915,25.65,-2.7585,13.4097,-3.551,-1.9355,0.0,***,1012,1000
hin,Hindi,BLEU,EchoRefine_Hybrid,EchoRefine_Raw,22.8915,23.9296,-1.0381,9.3235,-1.5893,-0.4788,0.0,***,1012,1000
hin,Hindi,CHRF,EchoRefine_Hybrid,mBART,50.7907,47.0502,3.7405,8.6501,3.209,4.3196,0.0,***,1012,1000
hin,Hindi,CHRF,EchoRefine_Hybrid,Llama_ZS,50.7907,55.9602,-5.1695,10.3132,-5.7471,-4.5017,0.0,***,1012,1000
hin,Hindi,CHRF,EchoRefine_Hybrid,Llama_Direct,50.7907,53.3353,-2.5446,10.1273,-3.1921,-1.9266,0.0,***,1012,1000
hin,Hindi,CHRF,EchoRefine_Hybrid,EchoRefine_Raw,50.7907,51.9707,-1.18,7.4111,-1.6076,-0.7062,0.0,***,1012,1000
fra,French,BLEU,EchoRefine_Hybrid,mBART,43.1876,40.2175,2.9702,12.8596,2.1458,3.7787,0.0,***,1012,1000
fra,French,BLEU,EchoRefine_Hybrid,Llama_ZS,43.1876,45.3659,-2.1782,18.4651,-3.3511,-1.0452,0.0,***,1012,1000
fra,French,BLEU,EchoRefine_Hybrid,Llama_Direct,43.1876,44.3833,-1.1957,16.2762,-2.1221,-0.1229,0.028,*,1012,1000
fra,French,BLEU,EchoRefine_Hybrid,EchoRefine_Raw,43.1876,42.0215,1.1662,12.0419,0.4726,1.9265,0.0,***,1012,1000
fra,French,CHRF,EchoRefine_Hybrid,mBART,68.2634,66.1497,2.1137,8.374,1.6082,2.6425,0.0,***,1012,1000
fra,French,CHRF,EchoRefine_Hybrid,Llama_ZS,68.2634,70.3573,-2.0939,10.748,-2.7732,-1.4459,0.0,***,1012,1000
fra,French,CHRF,EchoRefine_Hybrid,Llama_Direct,68.2634,68.2685,-0.0052,10.6518,-0.6297,0.6593,0.968,,1012,1000
fra,French,CHRF,EchoRefine_Hybrid,EchoRefine_Raw,68.2634,67.2112,1.0521,7.6744,0.6388,1.5526,0.0,***,1012,1000
